tmin	text	tmax
0	<p:>	2.757125
2.757125	l	2.857125
2.857125	U	2.927125
2.927125	n	2.957125
2.957125	d	2.987125
2.987125	i	3.067125
3.067125	m	3.247125
3.247125	a	3.427125
3.427125	t	3.457125
3.457125	i:	3.497125
3.497125	n	3.527125
3.527125	<p:>	3.577125
3.577125	?	3.647125
3.647125	a	3.687125
3.687125	l	3.747125
3.747125	i:	3.807125
3.807125	s	3.847125
3.847125	E	3.897125
3.897125	t	3.927125
3.927125	z	3.977125
3.977125	O	4.027125
4.027125	n	4.057125
4.057125	p	4.107125
4.107125	a	4.217125
4.217125	p	4.267125
4.267125	a	4.387125
4.387125	v	4.437125
4.437125	O	4.467125
4.467125	n	4.527125
4.527125	?	4.627125
4.627125	a:	4.697125
4.697125	m	4.797125
4.797125	a	4.827125
4.827125	l	4.897125
4.897125	i:	4.987125
4.987125	b	5.077125
5.077125	u:	5.147125
5.147125	<p:>	5.737125
5.737125	l	5.797125
5.797125	a	5.847125
5.847125	b	5.907125
5.907125	a	6.092125
6.092125	I	6.157125
6.157125	l	6.187125
6.187125	s	6.217125
6.217125	<p:>	6.307125
6.307125	r	6.337125
6.337125	e:	6.387125
6.387125	j	6.417125
6.417125	OY	6.577125
6.577125	k	6.637125
6.637125	n	6.667125
6.667125	E	6.707125
6.707125	n	6.777125
6.777125	p	6.857125
6.857125	e:	6.897125
6.897125	p	7.057125
7.057125	i	7.237125
7.237125	?	7.347125
7.347125	a	7.417125
7.417125	p	7.457125
7.457125	r	7.537125
7.537125	@	7.577125
7.577125	U	7.617125
7.617125	n	7.647125
7.647125	v	7.677125
7.677125	o	7.717125
7.717125	h	7.747125
7.747125	a	7.777125
7.777125	g	7.807125
7.807125	@	7.927125
7.927125	<p:>	7.997125
7.997125	z	8.037125
8.037125	a	8.117125
8.117125	n	8.247125
8.247125	s	8.277125
8.277125	z	8.307125
8.307125	u	8.347125
8.347125	ts	8.387125
8.387125	I	8.467125
8.467125	s	8.507125
8.507125	<p:>	8.927125
8.927125	?	8.997125
8.997125	I	9.047125
9.047125	l	9.077125
9.077125	f	9.187125
9.187125	aI	9.247125
9.247125	t	9.347125
9.347125	k	9.377125
9.377125	aU	9.557125
9.557125	t	9.587125
9.587125	<p:>	9.677125
9.677125	m	9.757125
9.757125	aI	9.797125
9.797125	s	9.827125
9.827125	l	9.857125
9.857125	a	9.887125
9.887125	b	9.957125
9.957125	r	10.017125
10.017125	i:	10.087125
10.087125	z	10.197125
10.197125	@	10.267125
10.267125	l	10.307125
10.307125	e:	10.347125
10.347125	g	10.377125
10.377125	r	10.417125
10.417125	@	10.547125
10.547125	?	10.577125
10.577125	E	10.617125
10.617125	t	10.647125
10.647125	l	10.677125
10.677125	?	10.707125
10.707125	E:	10.797125
10.797125	6	10.827125
10.827125	dZ	10.887125
10.887125	o:	10.987125
10.987125	d	11.037125
11.037125	e:	11.097125
11.097125	d	11.137125
11.137125	e	11.187125
11.187125	l	11.217125
11.217125	a	11.277125
11.277125	m	11.347125
11.347125	E	11.377125
11.377125	6	11.427125
11.427125	l	11.497125
11.497125	E	11.547125
11.547125	s	11.577125
11.577125	r	11.607125
11.607125	a	11.677125
11.677125	v	11.717125
11.717125	i:	11.877125
11.877125	v	11.907125
11.907125	E	11.937125
11.937125	n	11.967125
11.967125	<p:>	12.457125
12.457125	f	12.507125
12.507125	E	12.537125
12.537125	6	12.647125
12.647125	s	12.677125
12.677125	m	12.707125
12.707125	i:	12.817125
12.817125	d	12.847125
12.847125	i	13.047125
13.047125	<p:>	13.417125
13.417125	a	13.477125
13.477125	l	13.557125
13.557125	i:	13.637125
13.637125	s	13.667125
13.667125	s	13.767125
13.767125	E	13.837125
13.837125	k	13.867125
13.867125	s	13.957125
13.957125	k	13.997125
13.997125	l	14.057125
14.057125	a:	14.157125
14.157125	m	14.267125
14.267125	@	14.327125
14.327125	<p:>	14.967125
14.967125	j	15.007125
15.007125	?	15.037125
15.037125	aI	15.097125
15.097125	v	15.127125
15.127125	r	15.177125
15.177125	a:	15.227125
15.227125	j	15.257125
15.257125	u:	15.347125
15.347125	n	15.377125
15.377125	t	15.407125
15.407125	r	15.447125
15.447125	E	15.487125
15.487125	s	15.517125
15.517125	t	15.547125
15.547125	r	15.577125
15.577125	E	15.657125
15.657125	s	15.687125
15.687125	f	15.787125
15.787125	aI	15.877125
15.877125	m	16.117125
16.117125	<p:>	16.307125
16.307125	p	16.347125
16.347125	e:	16.407125
16.407125	p	16.517125
16.517125	i	16.607125
16.607125	l	16.667125
16.667125	E	16.697125
16.697125	s	16.727125
16.727125	g	16.757125
16.757125	u	16.797125
16.797125	i:	16.877125
16.877125	d	16.907125
16.907125	@	16.947125
16.947125	a	16.977125
16.977125	l	17.007125
17.007125	O	17.157125
17.157125	6	17.517125
17.517125	z	17.557125
17.557125	s	17.602125
17.602125	f	17.657125
17.657125	aI	17.697125
17.697125	t	17.727125
17.727125	@	17.852125
17.852125	f	17.897125
17.897125	E	17.937125
17.937125	6	17.967125
17.967125	s	17.997125
17.997125	U	18.067125
18.067125	n	18.107125
18.107125	k	18.157125
18.157125	a	18.197125
18.197125	f	18.247125
18.247125	e:	18.307125
18.307125	l	18.337125
18.337125	U	18.367125
18.367125	k	18.427125
18.427125	s	18.557125
18.557125	u	18.717125
18.717125	OY	18.757125
18.757125	k	18.787125
18.787125	s	18.817125
18.817125	<p:>	18.877125
18.877125	aU	18.977125
18.977125	b	19.037125
19.037125	O	19.117125
19.117125	6	19.147125
19.147125	d	19.177125
19.177125	e	19.217125
19.217125	l	19.247125
19.247125	?	19.277125
19.277125	e:	19.317125
19.317125	aU	19.457125
19.457125	<p:>	19.717125
19.717125	l	19.757125
19.757125	e	19.797125
19.797125	b	19.857125
19.857125	i	19.937125
19.937125	g	19.997125
19.997125	O	20.047125
20.047125	6	20.087125
20.087125	n	20.117125
20.117125	j	20.147125
20.147125	o:	20.207125
20.207125	z	20.287125
20.287125	a	20.377125
20.377125	l	20.417125
20.417125	e:	20.507125
20.507125	<p:>	21.307125
21.307125	m	21.377125
21.377125	a	21.427125
21.427125	r	21.517125
21.517125	d	21.547125
21.547125	i	21.752125
21.752125	I	21.837125
21.837125	l	21.877125
21.877125	s	21.907125
21.907125	v	21.937125
21.937125	O	21.997125
21.997125	n	22.027125
22.027125	t	22.057125
22.057125	a:	22.117125
22.117125	l	22.147125
22.147125	a	22.207125
22.207125	p	22.257125
22.257125	l	22.327125
22.327125	a:	22.387125
22.387125	g	22.417125
22.417125	@	22.467125
22.467125	I	22.517125
22.517125	l	22.637125
22.637125	<p:>	22.847125
22.847125	n	22.877125
22.877125	?	22.907125
22.907125	Y	22.937125
22.937125	p	22.967125
22.967125	s	23.097125
23.097125	i	23.147125
23.147125	l	23.177125
23.177125	O	23.207125
23.207125	n	23.387125
23.387125	a:	23.477125
23.477125	p	23.547125
23.547125	a	23.617125
23.617125	z	23.677125
23.677125	U	23.737125
23.737125	n	23.807125
23.807125	n	23.877125
23.877125	U	23.907125
23.907125	a	23.967125
23.967125	g	23.997125
23.997125	d	24.047125
24.047125	a:	24.097125
24.097125	l	24.127125
24.127125	e	24.187125
24.187125	<p:>	24.267125
24.267125	tS	24.307125
24.307125	i:	24.407125
24.407125	l	24.497125
24.497125	p	24.567125
24.567125	a	24.637125
24.637125	p	24.707125
24.707125	a	24.767125
24.767125	s	24.797125
24.797125	?	24.827125
24.827125	I	24.877125
24.877125	n	24.907125
24.907125	t	24.977125
24.977125	6	25.047125
25.047125	r	25.077125
25.077125	o:	25.247125
25.247125	g	25.277125
25.277125	@	25.347125
25.347125	<p:>	25.447125
25.447125	?	25.477125
25.477125	a	25.577125
25.577125	v	25.627125
25.627125	O	25.667125
25.667125	n	25.697125
25.697125	s	25.727125
25.727125	n	25.787125
25.787125	u:	25.867125
25.867125	s	25.897125
25.897125	p	25.927125
25.927125	r	25.977125
25.977125	I	26.017125
26.017125	s	26.047125
26.047125	l	26.077125
26.077125	a	26.127125
26.127125	k	26.177125
26.177125	r	26.207125
26.207125	e:	26.247125
26.247125	m	26.297125
26.297125	z	26.387125
26.387125	o:	26.427125
26.427125	l	26.457125
26.457125	aI	26.547125
26.547125	r	26.737125
26.737125	@	26.797125
26.797125	<p:>	27.267125
27.267125	b	27.297125
27.297125	i:	27.417125
27.417125	n	27.447125
27.447125	z	27.567125
27.567125	U	27.607125
27.607125	6	27.707125
27.707125	s	27.737125
27.737125	r	27.897125
27.897125	e:	27.957125
27.957125	b	28.017125
28.017125	m	28.127125
28.127125	a	28.157125
28.157125	l	28.227125
28.227125	i:	28.277125
28.277125	s	28.447125
28.447125	<p:>	29.137125
29.137125	m	29.177125
29.177125	9	29.207125
29.207125	6	29.237125
29.237125	d	29.267125
29.267125	k	29.297125
29.297125	r	29.357125
29.357125	e:	29.407125
29.407125	d	29.437125
29.437125	i	29.647125
29.647125	p	29.717125
29.717125	a	29.847125
29.847125	p	29.887125
29.887125	a	29.947125
29.947125	E	30.017125
30.017125	t	30.047125
30.047125	p	30.087125
30.087125	e:	30.137125
30.137125	p	30.257125
30.257125	i	30.357125
